Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`RadixIPLookup106::insert_into_v(IPRoute               0   0.0%
click`cp_expand(String                                      0   0.0%
click`RadixIPLookup106::Radix::change(unsigned              0   0.0%
click`DEQueue<int>::operator=(DEQueue<int>                  0   0.0%
click`cp_argvec(String                                      0   0.0%
click`RadixIPLookup106::add_route(IPRoute                   0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`BucketArray<IPRoute>::push_back(IPRoute               0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.1%
libsystem_c.dylib`get_tiny_previous_free_msize              1   0.1%
libsystem_c.dylib`szone_malloc_should_clear                 1   0.1%
libsystem_c.dylib`strlen                                    1   0.1%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.1%
click`DYLD-STUB$$pthread_self                               2   0.2%
libsystem_c.dylib`bzero$VARIANT$sse42                       2   0.2%
libsystem_c.dylib`free                                      2   0.2%
libsystem_c.dylib`szone_free_definite_size                  2   0.2%
libsystem_c.dylib`pthread_self                              3   0.2%
libsystem_c.dylib`memmove$VARIANT$sse42                     3   0.2%
click`RadixIPLookup106::Radix::free_radix(RadixIPLookup106::Radix*)        5   0.4%
click`PoundRadixIPLookupM106::run_task(Task*)               5   0.4%
click`_ZL18ip_address_portionPKcS0_PhRi                     6   0.5%
click`Lexer::FileState::lex_config(Lexer*)                 14   1.1%
click`RadixIPLookup106::reclaim_v()                        17   1.4%
click`cp_shift_spacevec(String&)                           18   1.4%
click`_ZL18skip_spacevec_itemPKcS0_                        19   1.5%
click`RadixIPLookup106::remove_from_v(int)                 20   1.6%
click`RouterThread::lock_tasks()                           24   1.9%
click`0x0                                                  25   2.0%
click`_ZL17partial_uncommentRK6StringiPi                   26   2.1%
click`Spinlock::acquire()                                1058  84.2%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`RadixIPLookup106::insert_into_v(IPRoute               0   0.0%
click`RadixIPLookup106::Radix::change(unsigned              0   0.0%
click`cp_expand(String                                      0   0.0%
click`cp_argvec(String                                      0   0.0%
click`RadixIPLookup106::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`BucketArray<IPRoute>::push_back(IPRoute               0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`fread                                     1   0.1%
libsystem_c.dylib`tiny_free_detach_region                   1   0.1%
click`DYLD-STUB$$pthread_self                               1   0.1%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           1   0.1%
libsystem_c.dylib`memmove$VARIANT$sse42                     1   0.1%
libsystem_c.dylib`__fread                                   1   0.1%
libsystem_c.dylib`tiny_malloc_from_free_list                1   0.1%
libsystem_c.dylib`szone_size                                1   0.1%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.2%
click`PoundRadixIPLookupM106::run_task(Task*)               2   0.2%
libsystem_c.dylib`pthread_self                              3   0.2%
click`RadixIPLookup106::Radix::free_radix(RadixIPLookup106::Radix*)        4   0.3%
