Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`Lexer::add_element_type(String                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`Vector<IPRoute>::erase(IPRoute*,                      0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.0%
click`IPAddress::make_prefix(int)                           1   0.0%
libsystem_c.dylib`malloc                                    1   0.0%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           1   0.0%
libsystem_c.dylib`strlen                                    1   0.0%
click`click_add_element_type_stable                         1   0.0%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     1   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.0%
libsystem_kernel.dylib`madvise                              2   0.0%
libsystem_c.dylib`free                                      2   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 3   0.0%
libsystem_c.dylib`szone_size                                4   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list                5   0.0%
libsystem_c.dylib`szone_free_definite_size                  7   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     7   0.0%
click`PoundRadixIPLookupM107::run_task(Task*)               8   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       9   0.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       14   0.0%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         17   0.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    22   0.0%
click`_ZL18skip_spacevec_itemPKcS0_                        53   0.0%
click`Lexer::FileState::lex_config(Lexer*)                 58   0.0%
click`cp_shift_spacevec(String&)                           91   0.0%
click`_ZL17partial_uncommentRK6StringiPi                   98   0.0%
click`DYLD-STUB$$pthread_self                             114   0.0%
click`0x0                                                 242   0.1%
libsystem_c.dylib`pthread_self                            255   0.1%
click`Master::check_driver()                             1348   0.5%
click`ReadRadixIPLookupM107::run_task(Task*)             1734   0.6%
click`RouterThread::lock_tasks()                        58172  19.9%
click`ReadWriteLockUser::acquire_read()                230067  78.7%
