Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`NameInfo::namedb(unsigned                             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`DYLD-STUB$$operator                                   0   0.0%
click`cp_expand(String                                      0   0.0%
click`String::equals(char                                   0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`HashContainer<HashTable<Pair<String                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.2%
libsystem_c.dylib`get_tiny_previous_free_msize              1   0.2%
click`DYLD-STUB$$pthread_self                               1   0.2%
libsystem_c.dylib`tiny_free_reattach_region                 2   0.3%
libsystem_c.dylib`malloc                                    2   0.3%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.3%
libsystem_c.dylib`tiny_free_list_remove_ptr                 2   0.3%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     2   0.3%
libsystem_c.dylib`tiny_malloc_from_free_list                2   0.3%
libsystem_c.dylib`bzero$VARIANT$sse42                       4   0.6%
libsystem_c.dylib`free                                      4   0.6%
libsystem_c.dylib`tiny_free_list_add_ptr                    4   0.6%
click`IPAddress::make_prefix(int)                           5   0.8%
libsystem_c.dylib`szone_size                                5   0.8%
libsystem_c.dylib`memmove$VARIANT$sse42                     6   0.9%
libsystem_c.dylib`szone_free_definite_size                  8   1.2%
libsystem_c.dylib`pthread_self                             10   1.5%
click`PoundRadixIPLookupM107::run_task(Task*)              12   1.8%
libsystem_c.dylib`strlen                                   14   2.1%
click`Master::check_driver()                               16   2.4%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       17   2.6%
click`_ZL18ip_address_portionPKcS0_PhRi                    50   7.6%
click`Lexer::FileState::lex_config(Lexer*)                 58   8.8%
click`_ZL18skip_spacevec_itemPKcS0_                        62   9.4%
click`0x0                                                  69  10.4%
click`_ZL17partial_uncommentRK6StringiPi                   96  14.5%
click`cp_shift_spacevec(String&)                           98  14.8%
click`RouterThread::lock_tasks()                          109  16.5%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
dyld`ImageLoaderMachOCompressed::exportedSymbolAddress(ImageLoader::LinkContext        0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`malloc                                    1   0.2%
libsystem_c.dylib`pthread_self                              1   0.2%
click`DYLD-STUB$$pthread_self                               1   0.2%
libsystem_c.dylib`strlen                                    1   0.2%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     1   0.2%
click`RouterThread::run_tasks(int)                          1   0.2%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.3%
libsystem_kernel.dylib`madvise                              2   0.3%
libsystem_c.dylib`tiny_free_scan_madvise_free               2   0.3%
libsystem_c.dylib`free                                      3   0.5%
libsystem_c.dylib`tiny_free_list_remove_ptr                 3   0.5%
libsystem_c.dylib`tiny_malloc_from_free_list                3   0.5%
libsystem_c.dylib`get_tiny_free_size                        4   0.6%
click`IPAddress::make_prefix(int)                           4   0.6%
libsystem_c.dylib`tiny_free_reattach_region                 4   0.6%
libsystem_c.dylib`szone_malloc_should_clear                 6   1.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     6   1.0%
libsystem_c.dylib`szone_free_definite_size                  8   1.3%
libsystem_c.dylib`bzero$VARIANT$sse42                      15   2.4%
click`PoundRadixIPLookupM107::run_task(Task*)              15   2.4%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       18   2.9%
click`Master::check_driver()                               21   3.4%
click`_ZL18ip_address_portionPKcS0_PhRi                    22   3.6%
click`_ZL18skip_spacevec_itemPKcS0_                        52   8.4%
click`Lexer::FileState::lex_config(Lexer*)                 58   9.4%
click`cp_shift_spacevec(String&)                           70  11.4%
click`0x0                                                  76  12.3%
click`_ZL17partial_uncommentRK6StringiPi                  102  16.6%
click`RouterThread::lock_tasks()                          114  18.5%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`Lexer::expand_compound_element(int,                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
click`IPAddress::make_prefix(int)                           1   0.2%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.2%
libsystem_c.dylib`malloc                                    1   0.2%
libsystem_c.dylib`tiny_free_detach_region                   1   0.2%
libsystem_c.dylib`szone_malloc                              1   0.2%
libsystem_c.dylib`strlen                                    1   0.2%
libsystem_c.dylib`get_tiny_free_size                        2   0.3%
libsystem_c.dylib`tiny_free_scan_madvise_free               2   0.3%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           2   0.3%
libsystem_c.dylib`malloc_zone_malloc                        2   0.3%
libsystem_c.dylib`tiny_malloc_from_free_list                2   0.3%
libsystem_c.dylib`pthread_self                              4   0.6%
libsystem_c.dylib`szone_malloc_should_clear                 4   0.6%
libsystem_c.dylib`tiny_free_list_remove_ptr                 4   0.6%
libsystem_c.dylib`szone_size                                4   0.6%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     5   0.8%
libsystem_c.dylib`memmove$VARIANT$sse42                     6   0.9%
libsystem_c.dylib`szone_free_definite_size                  7   1.1%
libsystem_c.dylib`bzero$VARIANT$sse42                       9   1.4%
click`PoundRadixIPLookupM107::run_task(Task*)              11   1.7%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       16   2.5%
click`_ZL18ip_address_portionPKcS0_PhRi                    26   4.1%
click`Master::check_driver()                               28   4.4%
click`_ZL18skip_spacevec_itemPKcS0_                        56   8.8%
click`Lexer::FileState::lex_config(Lexer*)                 58   9.1%
click`0x0                                                  78  12.3%
click`cp_shift_spacevec(String&)                           83  13.1%
click`_ZL17partial_uncommentRK6StringiPi                  104  16.4%
click`RouterThread::lock_tasks()                          115  18.1%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`DYLD-STUB$$operator                                   0   0.0%
click`cp_expand(String                                      0   0.0%
click`(anonymous                                            0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`DYLD-STUB$$Lexer::FileState::operator=(Lexer::FileState        0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`Element::port_count()                                 0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
click`IPAddress::make_prefix(int)                           1   0.2%
libsystem_c.dylib`tiny_free_detach_region                   1   0.2%
libsystem_kernel.dylib`madvise                              1   0.2%
click`DYLD-STUB$$pthread_self                               1   0.2%
libsystem_c.dylib`free                                      1   0.2%
libsystem_c.dylib`szone_malloc                              1   0.2%
libsystem_c.dylib`strlen                                    1   0.2%
click`click_add_element_type_stable                         1   0.2%
libsystem_c.dylib`_sread                                    1   0.2%
libsystem_c.dylib`get_tiny_free_size                        2   0.3%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     2   0.3%
libsystem_c.dylib`get_tiny_previous_free_msize              3   0.5%
libsystem_c.dylib`malloc                                    3   0.5%
libsystem_c.dylib`szone_malloc_should_clear                 3   0.5%
libsystem_c.dylib`tiny_free_scan_madvise_free               3   0.5%
libsystem_c.dylib`szone_free_definite_size                  3   0.5%
libsystem_c.dylib`tiny_free_list_remove_ptr                 3   0.5%
libsystem_c.dylib`szone_size                                3   0.5%
libsystem_c.dylib`malloc_zone_malloc                        4   0.6%
libsystem_c.dylib`tiny_free_list_add_ptr                    4   0.6%
libsystem_c.dylib`memmove$VARIANT$sse42                     5   0.8%
libsystem_c.dylib`tiny_malloc_from_free_list                8   1.3%
libsystem_c.dylib`bzero$VARIANT$sse42                       9   1.4%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       11   1.7%
click`PoundRadixIPLookupM107::run_task(Task*)              12   1.9%
click`Master::check_driver()                               19   3.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    36   5.7%
click`_ZL18skip_spacevec_itemPKcS0_                        53   8.4%
click`Lexer::FileState::lex_config(Lexer*)                 58   9.2%
click`cp_shift_spacevec(String&)                           76  12.0%
click`0x0                                                  82  13.0%
click`_ZL17partial_uncommentRK6StringiPi                  102  16.1%
click`RouterThread::lock_tasks()                          119  18.8%
