Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`String::hashcode(char                                 0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_element(String                                     0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`cp_basic_integer(char                                 0   0.0%
click`IPAddress::make_prefix(int)                           1   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.0%
libsystem_c.dylib`__srefill0                                1   0.0%
libsystem_kernel.dylib`madvise                              1   0.0%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.0%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           1   0.0%
libsystem_c.dylib`szone_malloc                              1   0.0%
libsystem_c.dylib`strlen                                    1   0.0%
libsystem_c.dylib`malloc_zone_malloc                        1   0.0%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.0%
libsystem_c.dylib`madvise_free_range                        1   0.0%
click`Master::kill_router(Router*)                          1   0.0%
libsystem_c.dylib`free                                      2   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     2   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              3   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 3   0.0%
click`PoundRadixIPLookupM107::run_task(Task*)               4   0.0%
libsystem_c.dylib`szone_free_definite_size                  4   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list                6   0.0%
libsystem_c.dylib`szone_size                                6   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       7   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     7   0.0%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         12   0.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       16   0.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    21   0.0%
click`_ZL18skip_spacevec_itemPKcS0_                        46   0.0%
click`Lexer::FileState::lex_config(Lexer*)                 58   0.0%
click`cp_shift_spacevec(String&)                           92   0.0%
click`_ZL17partial_uncommentRK6StringiPi                  100   0.1%
click`DYLD-STUB$$pthread_self                             133   0.1%
libsystem_c.dylib`pthread_self                            192   0.1%
click`0x0                                                 225   0.1%
click`ReadRadixIPLookupM107::run_task(Task*)              803   0.4%
click`Master::check_driver()                             5927   3.2%
click`RouterThread::lock_tasks()                        45220  24.2%
click`ReadWriteLockUser::acquire_read()                133981  71.7%
