Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
dyld`ImageLoaderMachOCompressed::findExportedSymbol(char        0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              1   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 1   0.0%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.0%
libsystem_c.dylib`free                                      2   0.0%
libsystem_c.dylib`strlen                                    2   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       3   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 3   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     4   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list                6   0.0%
libsystem_c.dylib`szone_size                                6   0.0%
libsystem_c.dylib`szone_free_definite_size                  8   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     8   0.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       11   0.0%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         24   0.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    31   0.0%
click`_ZL18skip_spacevec_itemPKcS0_                        54   0.1%
click`Lexer::FileState::lex_config(Lexer*)                 58   0.1%
click`cp_shift_spacevec(String&)                           72   0.1%
click`0x0                                                  79   0.1%
click`_ZL17partial_uncommentRK6StringiPi                  103   0.2%
click`DYLD-STUB$$pthread_self                             109   0.2%
libsystem_c.dylib`pthread_self                            128   0.2%
click`ReadRadixIPLookupM107::run_task(Task*)              399   0.6%
click`Master::check_driver()                             1350   2.1%
click`RouterThread::lock_tasks()                         1356   2.1%
click`ReadWriteLockUser::acquire_read()                 59471  94.0%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
dyld`ImageLoaderMachO::bindLocation(ImageLoader::LinkContext        0   0.0%
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`szone_malloc                              1   0.0%
libsystem_c.dylib`strlen                                    1   0.0%
libsystem_c.dylib`_sread                                    1   0.0%
libsystem_c.dylib`DYLD-STUB$$bzero                          1   0.0%
libsystem_c.dylib`__fread                                   1   0.0%
dyld`_ZN4dyldL18notifyBatchPartialE17dyld_image_statesbPFPKcS0_jPK15dyld_image_infoE        1   0.0%
libsystem_c.dylib`get_tiny_free_size                        2   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 2   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.0%
libsystem_c.dylib`malloc                                    2   0.0%
libsystem_c.dylib`free                                      2   0.0%
libsystem_c.dylib`malloc_zone_malloc                        2   0.0%
libsystem_c.dylib`tiny_free_list_add_ptr                    2   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     2   0.0%
click`IPAddress::make_prefix(int)                           4   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 4   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       4   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list                6   0.0%
libsystem_c.dylib`szone_size                                6   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     7   0.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       10   0.0%
libsystem_c.dylib`szone_free_definite_size                 11   0.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    30   0.1%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         38   0.1%
click`Lexer::FileState::lex_config(Lexer*)                 58   0.1%
click`_ZL18skip_spacevec_itemPKcS0_                        59   0.1%
click`cp_shift_spacevec(String&)                           70   0.1%
click`0x0                                                  83   0.1%
click`DYLD-STUB$$pthread_self                              86   0.1%
click`_ZL17partial_uncommentRK6StringiPi                  106   0.2%
libsystem_c.dylib`pthread_self                            113   0.2%
click`ReadRadixIPLookupM107::run_task(Task*)              402   0.7%
click`Master::check_driver()                              673   1.1%
click`RouterThread::lock_tasks()                         2279   3.8%
click`ReadWriteLockUser::acquire_read()                 55585  93.2%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`NameInfo::namedb(unsigned                             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`bcmp                                      1   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              1   0.0%
libsystem_c.dylib`malloc                                    1   0.0%
libsystem_c.dylib`tiny_free_detach_region                   1   0.0%
click`RouterThread::driver()                                1   0.0%
