Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Script::step(int,                                     0   0.0%
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`RadixIPLookup106::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup106::insert_into_v(IPRoute               0   0.0%
click`cp_expand(String                                      0   0.0%
click`RadixIPLookup106::Radix::change(unsigned              0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`RadixIPLookup106::add_route(IPRoute                   0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`BucketArray<IPRoute>::push_back(IPRoute               0   0.0%
click`cp_basic_integer(char                                 0   0.0%
click`IPAddress::make_prefix(int)                           1   0.0%
click`RadixIPLookup106::Radix::free_radix(RadixIPLookup106::Radix*)        1   0.0%
libsystem_c.dylib`free                                      1   0.0%
libsystem_c.dylib`thread_start                              1   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     1   0.0%
click`PoundRadixIPLookupM106::run_task(Task*)               2   0.1%
libsystem_c.dylib`memmove$VARIANT$sse42                     2   0.1%
libsystem_c.dylib`szone_size                                2   0.1%
click`RadixIPLookup106::remove_from_v(int)                  3   0.1%
libsystem_c.dylib`bzero$VARIANT$sse42                       4   0.2%
libsystem_c.dylib`szone_free_definite_size                  4   0.2%
click`_ZL18skip_spacevec_itemPKcS0_                         8   0.3%
click`_ZL18ip_address_portionPKcS0_PhRi                     9   0.4%
click`Lexer::FileState::lex_config(Lexer*)                 16   0.7%
click`cp_shift_spacevec(String&)                           19   0.8%
click`_ZL17partial_uncommentRK6StringiPi                   30   1.3%
click`ReadRadixIPLookupM106::run_task(Task*)               33   1.4%
click`0x0                                                  66   2.8%
click`Master::check_driver()                              700  30.1%
click`RouterThread::lock_tasks()                         1419  61.1%
