Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`RadixIPLookup106::insert_into_v(IPRoute               0   0.0%
click`cp_expand(String                                      0   0.0%
click`RadixIPLookup106::Radix::change(unsigned              0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup106::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`BucketArray<IPRoute>::push_back(IPRoute               0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.4%
libsystem_kernel.dylib`madvise                              1   0.4%
libsystem_c.dylib`szone_free_definite_size                  1   0.4%
libsystem_c.dylib`memmove$VARIANT$sse42                     1   0.4%
click`RadixIPLookup106::Radix::free_radix(RadixIPLookup106::Radix*)        2   0.9%
libsystem_c.dylib`bzero$VARIANT$sse42                       2   0.9%
libsystem_c.dylib`tiny_free_list_remove_ptr                 2   0.9%
click`PoundRadixIPLookupM106::run_task(Task*)               2   0.9%
libsystem_c.dylib`tiny_malloc_from_free_list                2   0.9%
libsystem_c.dylib`szone_size                                2   0.9%
click`_ZL18ip_address_portionPKcS0_PhRi                     6   2.6%
click`RadixIPLookup106::remove_from_v(int)                  7   3.1%
click`RadixIPLookup106::reclaim_v()                         9   4.0%
click`Lexer::FileState::lex_config(Lexer*)                 14   6.2%
click`cp_shift_spacevec(String&)                           15   6.6%
click`_ZL18skip_spacevec_itemPKcS0_                        19   8.4%
click`_ZL17partial_uncommentRK6StringiPi                   25  11.0%
click`0x0                                                  25  11.0%
click`Spinlock::acquire()                                  91  40.1%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`RadixIPLookup106::insert_into_v(IPRoute               0   0.0%
click`cp_expand(String                                      0   0.0%
click`RadixIPLookup106::Radix::change(unsigned              0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup106::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`BucketArray<IPRoute>::push_back(IPRoute               0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.5%
libsystem_c.dylib`get_tiny_previous_free_msize              1   0.5%
libsystem_c.dylib`pthread_self                              1   0.5%
click`DYLD-STUB$$pthread_self                               1   0.5%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.5%
libsystem_c.dylib`bzero$VARIANT$sse42                       1   0.5%
libsystem_c.dylib`free                                      1   0.5%
libsystem_c.dylib`_sread                                    1   0.5%
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.5%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     1   0.5%
libsystem_c.dylib`tiny_malloc_from_free_list                1   0.5%
click`RadixIPLookup106::Radix::free_radix(RadixIPLookup106::Radix*)        2   1.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     2   1.0%
libsystem_c.dylib`szone_size                                2   1.0%
click`PoundRadixIPLookupM106::run_task(Task*)               3   1.5%
