Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.0%
click`IPAddress::make_prefix(int)                           1   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.0%
libsystem_c.dylib`__bzero                                   1   0.0%
libsystem_c.dylib`malloc                                    1   0.0%
libsystem_c.dylib`strlen                                    1   0.0%
libsystem_c.dylib`malloc_zone_malloc                        1   0.0%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.0%
libsystem_c.dylib`small_free_list_add_ptr                   1   0.0%
libsystem_c.dylib`__fread                                   1   0.0%
click`Master::kill_router(Router*)                          1   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              3   0.0%
libsystem_c.dylib`szone_malloc                              3   0.0%
libsystem_c.dylib`szone_size                                3   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     4   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list                4   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 7   0.0%
libsystem_c.dylib`szone_free_definite_size                  7   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       8   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     8   0.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       12   0.0%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         22   0.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    36   0.0%
click`_ZL18skip_spacevec_itemPKcS0_                        58   0.0%
click`Lexer::FileState::lex_config(Lexer*)                 59   0.0%
click`cp_shift_spacevec(String&)                           77   0.0%
click`_ZL17partial_uncommentRK6StringiPi                  100   0.0%
click`DYLD-STUB$$pthread_self                             141   0.0%
click`0x0                                                 151   0.0%
libsystem_c.dylib`pthread_self                            242   0.1%
click`RouterThread::lock_tasks()                          869   0.2%
click`ReadRadixIPLookupM107::run_task(Task*)             2339   0.6%
click`Master::check_driver()                             2904   0.7%
click`ReadWriteLockUser::acquire_read()                400016  98.3%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`DYLD-STUB$$operator                                   0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`malloc                                    1   0.0%
libsystem_c.dylib`tiny_free_detach_region                   1   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 1   0.0%
libsystem_c.dylib`DYLD-STUB$$bzero                          1   0.0%
libstdc                                                     1   0.0%
libsystem_c.dylib`get_tiny_free_size                        2   0.0%
click`IPAddress::make_prefix(int)                           2   0.0%
libsystem_c.dylib`tiny_free_list_add_ptr                    2   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 2   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     2   0.0%
libsystem_c.dylib`szone_size                                2   0.0%
libsystem_c.dylib`szone_malloc                              3   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list                3   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              4   0.0%
libsystem_c.dylib`malloc_zone_malloc                        4   0.0%
libsystem_c.dylib`szone_free_definite_size                  8   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     8   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                      13   0.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       17   0.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    25   0.0%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         26   0.0%
click`Lexer::FileState::lex_config(Lexer*)                 58   0.0%
click`_ZL18skip_spacevec_itemPKcS0_                        59   0.0%
click`cp_shift_spacevec(String&)                           77   0.0%
click`_ZL17partial_uncommentRK6StringiPi                   95   0.0%
click`DYLD-STUB$$pthread_self                             140   0.0%
click`0x0                                                 262   0.1%
libsystem_c.dylib`pthread_self                            347   0.1%
click`Master::check_driver()                             1034   0.3%
click`RouterThread::lock_tasks()                         1058   0.3%
click`ReadRadixIPLookupM107::run_task(Task*)             2469   0.6%
click`ReadWriteLockUser::acquire_read()                389318  98.6%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.0%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.0%
libsystem_c.dylib`DYLD-STUB$$bzero                          1   0.0%
click`RouterThread::run_tasks(int)                          1   0.0%
click`IPAddress::make_prefix(int)                           2   0.0%
