Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`HashTable<String,                                     0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              1   0.2%
libsystem_c.dylib`tiny_free_detach_region                   1   0.2%
click`DYLD-STUB$$pthread_self                               1   0.2%
libsystem_c.dylib`free                                      1   0.2%
libsystem_c.dylib`strlen                                    1   0.2%
libsystem_c.dylib`malloc_zone_malloc                        1   0.2%
libsystem_c.dylib`new_sem_from_pool                         1   0.2%
libsystem_c.dylib`pthread_self                              2   0.4%
libsystem_c.dylib`tiny_free_list_add_ptr                    2   0.4%
libsystem_c.dylib`tiny_free_list_remove_ptr                 2   0.4%
libstdc                                                     2   0.4%
libsystem_c.dylib`szone_malloc_should_clear                 3   0.6%
libsystem_c.dylib`tiny_free_scan_madvise_free               3   0.6%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     3   0.6%
libsystem_c.dylib`tiny_malloc_from_free_list                3   0.6%
libsystem_c.dylib`szone_size                                4   0.8%
libsystem_c.dylib`szone_free_definite_size                  5   1.0%
click`PoundRadixIPLookupM107::run_task(Task*)               6   1.2%
click`RouterThread::lock_tasks()                            6   1.2%
libsystem_c.dylib`memmove$VARIANT$sse42                    10   2.0%
libsystem_c.dylib`bzero$VARIANT$sse42                      12   2.4%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       20   4.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    30   6.1%
click`_ZL18skip_spacevec_itemPKcS0_                        55  11.1%
click`Lexer::FileState::lex_config(Lexer*)                 59  11.9%
click`cp_shift_spacevec(String&)                           74  15.0%
click`0x0                                                  81  16.4%
click`_ZL17partial_uncommentRK6StringiPi                  105  21.3%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`Vector<int>::insert(int*,                             0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`Vector<IPRoute>::erase(IPRoute*,                      0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.2%
libsystem_c.dylib`malloc                                    1   0.2%
click`DYLD-STUB$$pthread_self                               1   0.2%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.2%
libsystem_c.dylib`szone_size                                1   0.2%
click`IPAddress::make_prefix(int)                           2   0.4%
libsystem_kernel.dylib`madvise                              2   0.4%
libsystem_c.dylib`tiny_free_list_add_ptr                    2   0.4%
libsystem_c.dylib`tiny_free_list_remove_ptr                 2   0.4%
libsystem_c.dylib`get_tiny_previous_free_msize              3   0.6%
libsystem_c.dylib`free                                      3   0.6%
click`PoundRadixIPLookupM107::run_task(Task*)               3   0.6%
libsystem_c.dylib`tiny_free_detach_region                   4   0.8%
libsystem_c.dylib`strlen                                    4   0.8%
libsystem_c.dylib`szone_malloc_should_clear                 6   1.2%
libsystem_c.dylib`bzero$VARIANT$sse42                       7   1.5%
libsystem_c.dylib`tiny_malloc_from_free_list                7   1.5%
libsystem_c.dylib`szone_free_definite_size                  8   1.7%
libsystem_c.dylib`memmove$VARIANT$sse42                     8   1.7%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       10   2.1%
click`RouterThread::lock_tasks()                           11   2.3%
click`_ZL18ip_address_portionPKcS0_PhRi                    31   6.4%
click`_ZL18skip_spacevec_itemPKcS0_                        52  10.8%
click`Lexer::FileState::lex_config(Lexer*)                 58  12.1%
click`0x0                                                  76  15.8%
click`cp_shift_spacevec(String&)                           82  17.0%
click`_ZL17partial_uncommentRK6StringiPi                   95  19.8%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`Lexer::expand_compound_element(int,                   0   0.0%
click`Vector<IPRoute>::erase(IPRoute*,                      0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.2%
libsystem_c.dylib`fread                                     1   0.2%
libsystem_c.dylib`malloc                                    1   0.2%
libsystem_kernel.dylib`madvise                              1   0.2%
libsystem_c.dylib`memset                                    1   0.2%
libsystem_c.dylib`szone_malloc_should_clear                 1   0.2%
libsystem_c.dylib`free                                      1   0.2%
libsystem_c.dylib`strlen                                    1   0.2%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.2%
libsystem_c.dylib`szone_size                                1   0.2%
libstdc                                                     1   0.2%
libsystem_c.dylib`get_tiny_free_size                        2   0.4%
click`IPAddress::make_prefix(int)                           2   0.4%
