Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`Lexer::expect(int,                                    0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`String::equals(char                                   0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_kernel.dylib`__read_nocancel                      1   0.0%
libsystem_c.dylib`tiny_free_detach_region                   1   0.0%
libsystem_kernel.dylib`madvise                              1   0.0%
click`_ZL19cp_register_argtypePKcS0_iPFvP8cp_valueRK6StringP12ErrorHandlerS0_PK7ElementEPFvS2_SA_EiPv        1   0.0%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           1   0.0%
libsystem_c.dylib`free                                      1   0.0%
libsystem_c.dylib`szone_malloc                              1   0.0%
click`PoundRadixIPLookupM107::run_task(Task*)               1   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     1   0.0%
libsystem_c.dylib`__fread                                   1   0.0%
libsystem_c.dylib`malloc                                    2   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.0%
libsystem_c.dylib`tiny_free_scan_madvise_free               2   0.0%
libsystem_c.dylib`strlen                                    2   0.0%
libsystem_c.dylib`tiny_free_list_add_ptr                    2   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 2   0.0%
click`IPAddress::make_prefix(int)                           3   0.0%
libsystem_c.dylib`szone_free_definite_size                  4   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              5   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     5   0.0%
libsystem_c.dylib`malloc_zone_malloc                        6   0.0%
libsystem_c.dylib`szone_size                                6   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       7   0.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       10   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list               13   0.1%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         30   0.1%
click`DYLD-STUB$$pthread_self                              43   0.2%
click`_ZL18ip_address_portionPKcS0_PhRi                    44   0.2%
click`cp_shift_spacevec(String&)                           55   0.2%
click`Lexer::FileState::lex_config(Lexer*)                 58   0.2%
click`_ZL18skip_spacevec_itemPKcS0_                        61   0.3%
libsystem_c.dylib`pthread_self                             75   0.3%
click`_ZL17partial_uncommentRK6StringiPi                  100   0.4%
click`ReadRadixIPLookupM107::run_task(Task*)              166   0.7%
click`0x0                                                 205   0.9%
click`Master::check_driver()                             4383  18.2%
click`ReadWriteLockUser::acquire_read()                  6755  28.0%
click`RouterThread::lock_tasks()                        12059  50.0%
