Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`RadixIPLookup106::insert_into_v(IPRoute               0   0.0%
click`DYLD-STUB$$operator                                   0   0.0%
click`cp_expand(String                                      0   0.0%
click`RadixIPLookup106::Radix::change(unsigned              0   0.0%
click`DEQueue<int>::operator=(DEQueue<int>                  0   0.0%
click`cp_argvec(String                                      0   0.0%
click`RadixIPLookup106::add_route(IPRoute                   0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`BucketArray<IPRoute>::push_back(IPRoute               0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              1   0.1%
libsystem_c.dylib`szone_free_definite_size                  1   0.1%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.1%
libsystem_c.dylib`memmove$VARIANT$sse42                     1   0.1%
libsystem_c.dylib`__fread                                   1   0.1%
libsystem_c.dylib`tiny_malloc_from_free_list                1   0.1%
click`BucketArray<IPRoute>::reserve()                       2   0.1%
libsystem_c.dylib`szone_size                                2   0.1%
click`RadixIPLookup106::Radix::free_radix(RadixIPLookup106::Radix*)        5   0.4%
click`_ZL18ip_address_portionPKcS0_PhRi                     5   0.4%
libsystem_c.dylib`bzero$VARIANT$sse42                       6   0.4%
libsystem_c.dylib`pthread_self                             11   0.8%
click`cp_shift_spacevec(String&)                           11   0.8%
click`PoundRadixIPLookupM106::run_task(Task*)              12   0.8%
click`Lexer::FileState::lex_config(Lexer*)                 16   1.1%
click`RadixIPLookup106::reclaim_v()                        22   1.5%
click`Master::check_driver()                               23   1.6%
click`DYLD-STUB$$pthread_self                              25   1.8%
click`RouterThread::lock_tasks()                           25   1.8%
click`_ZL18skip_spacevec_itemPKcS0_                        26   1.8%
click`_ZL17partial_uncommentRK6StringiPi                   28   2.0%
click`0x0                                                  29   2.0%
click`RadixIPLookup106::remove_from_v(int)               1169  82.2%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`RadixIPLookup106::insert_into_v(IPRoute               0   0.0%
click`cp_expand(String                                      0   0.0%
click`RadixIPLookup106::Radix::change(unsigned              0   0.0%
click`FileErrorHandler::vformat(char                        0   0.0%
click`DEQueue<int>::operator=(DEQueue<int>                  0   0.0%
click`cp_argvec(String                                      0   0.0%
click`RadixIPLookup106::add_route(IPRoute                   0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`BucketArray<IPRoute>::push_back(IPRoute               0   0.0%
click`Router::store_local_handler(int,                      0   0.0%
click`cp_basic_integer(char                                 0   0.0%
click`BucketArray<IPRoute>::reserve()                       1   0.1%
libsystem_c.dylib`get_tiny_previous_free_msize              1   0.1%
libsystem_c.dylib`bzero$VARIANT$sse42                       2   0.1%
libsystem_c.dylib`free                                      2   0.1%
libsystem_c.dylib`szone_free_definite_size                  2   0.1%
libsystem_c.dylib`tiny_free_list_remove_ptr                 2   0.1%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     2   0.1%
