index, mean-time, variance, std-deviation
non_1r_0w 1.409000 0.000089 0.009443
non_2r_0w 1.449000 0.002009 0.044818
non_3r_0w 1.435000 0.000125 0.011188
non_4r_0w 1.552000 0.000056 0.007485
non_5r_0w 1.759000 0.188269 0.433899
non_6r_0w 1.668000 0.000196 0.013999
non_7r_0w 1.848000 0.299916 0.547646
non_8r_0w 2.307000 0.000181 0.013461
