Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`DYLD-STUB$$operator                                   0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`Vector<IPRoute>::erase(IPRoute*,                      0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`Router::store_local_handler(int,                      0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.1%
libsystem_c.dylib`__bzero                                   1   0.1%
libsystem_c.dylib`malloc                                    1   0.1%
libsystem_c.dylib`tiny_free_detach_region                   1   0.1%
libsystem_kernel.dylib`madvise                              1   0.1%
click`argcmp                                                1   0.1%
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.1%
libsystem_c.dylib`_sread                                    1   0.1%
libsystem_c.dylib`pthread_once                              1   0.1%
click`IPAddress::make_prefix(int)                           2   0.2%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.2%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.2%
libsystem_c.dylib`strlen                                    2   0.2%
libsystem_c.dylib`tiny_free_list_add_ptr                    3   0.3%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     3   0.3%
libsystem_c.dylib`szone_free_definite_size                  4   0.3%
libsystem_c.dylib`pthread_self                              5   0.4%
libsystem_c.dylib`tiny_malloc_from_free_list                5   0.4%
libsystem_c.dylib`free                                      6   0.5%
libsystem_c.dylib`memmove$VARIANT$sse42                     6   0.5%
click`DYLD-STUB$$pthread_self                              12   1.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       14   1.2%
libsystem_c.dylib`bzero$VARIANT$sse42                      15   1.3%
click`_ZL18ip_address_portionPKcS0_PhRi                    33   2.9%
click`PoundRadixIPLookupM107::run_task(Task*)              34   3.0%
click`_ZL18skip_spacevec_itemPKcS0_                        59   5.1%
click`Lexer::FileState::lex_config(Lexer*)                 59   5.1%
click`cp_shift_spacevec(String&)                           66   5.7%
click`0x0                                                  93   8.1%
click`_ZL17partial_uncommentRK6StringiPi                   97   8.4%
click`Master::check_driver()                              279  24.3%
click`RouterThread::lock_tasks()                          339  29.5%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`String::hashcode(char                                 0   0.0%
click`DYLD-STUB$$operator                                   0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`Vector<IPRoute>::erase(IPRoute*,                      0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.1%
click`__tcf_2                                               1   0.1%
libsystem_kernel.dylib`madvise                              1   0.1%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.1%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           1   0.1%
libsystem_c.dylib`strlen                                    1   0.1%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.1%
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.1%
libdyld.dylib`misaligned_stack_error_entering_dyld_stub_binder        1   0.1%
libsystem_kernel.dylib`__bsdthread_create                   1   0.1%
libsystem_c.dylib`tiny_free_detach_region                   2   0.3%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.3%
libsystem_c.dylib`free                                      2   0.3%
libsystem_c.dylib`malloc_zone_malloc                        2   0.3%
click`IPAddress::make_prefix(int)                           3   0.4%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     3   0.4%
libsystem_c.dylib`szone_size                                3   0.4%
libsystem_c.dylib`get_tiny_previous_free_msize              4   0.6%
libsystem_c.dylib`pthread_self                              6   0.9%
click`DYLD-STUB$$pthread_self                               6   0.9%
libsystem_c.dylib`memmove$VARIANT$sse42                     6   0.9%
libsystem_c.dylib`bzero$VARIANT$sse42                       7   1.0%
libsystem_c.dylib`tiny_malloc_from_free_list                8   1.1%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       10   1.4%
libsystem_c.dylib`szone_free_definite_size                 12   1.7%
click`_ZL18ip_address_portionPKcS0_PhRi                    23   3.3%
click`PoundRadixIPLookupM107::run_task(Task*)              38   5.4%
click`_ZL18skip_spacevec_itemPKcS0_                        54   7.7%
click`RouterThread::lock_tasks()                           55   7.8%
click`Lexer::FileState::lex_config(Lexer*)                 58   8.2%
click`cp_shift_spacevec(String&)                           83  11.8%
click`0x0                                                  94  13.4%
click`_ZL17partial_uncommentRK6StringiPi                   97  13.8%
click`Master::check_driver()                              116  16.5%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`String::equals(char                                   0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`Vector<IPRoute>::erase(IPRoute*,                      0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
