Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`RadixIPLookup106::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup106::insert_into_v(IPRoute               0   0.0%
click`cp_expand(String                                      0   0.0%
click`RadixIPLookup106::Radix::change(unsigned              0   0.0%
click`DEQueue<int>::operator=(DEQueue<int>                  0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`RadixIPLookup106::add_route(IPRoute                   0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`BucketArray<IPRoute>::push_back(IPRoute               0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`tiny_free_detach_region                   1   0.0%
libsystem_kernel.dylib`madvise                              1   0.0%
click`Master::try_reclaim()                                 1   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       1   0.0%
libsystem_c.dylib`szone_free_definite_size                  1   0.0%
libsystem_c.dylib`strlen                                    1   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.1%
click`RadixIPLookup106::reclaim_v()                         2   0.1%
click`PoundRadixIPLookupM106::run_task(Task*)               2   0.1%
click`RadixIPLookup106::Radix::free_radix(RadixIPLookup106::Radix*)        5   0.2%
click`RadixIPLookup106::remove_from_v(int)                  5   0.2%
click`_ZL18ip_address_portionPKcS0_PhRi                     9   0.4%
click`cp_shift_spacevec(String&)                           14   0.7%
click`Lexer::FileState::lex_config(Lexer*)                 16   0.8%
click`_ZL18skip_spacevec_itemPKcS0_                        18   0.9%
click`_ZL17partial_uncommentRK6StringiPi                   27   1.3%
click`Master::check_driver()                               71   3.5%
click`0x0                                                  76   3.7%
click`ReadRadixIPLookupM106::run_task(Task*)              215  10.5%
click`RouterThread::lock_tasks()                         1579  77.1%
