Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`Vector<IPRoute>::erase(IPRoute*,                      0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`HashContainer<HashTable<Pair<String                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.1%
libsystem_c.dylib`szone_malloc_should_clear                 1   0.1%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.1%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           1   0.1%
libsystem_c.dylib`pthread_once                              1   0.1%
click`IPAddress::make_prefix(int)                           2   0.1%
libsystem_c.dylib`malloc                                    2   0.1%
libsystem_c.dylib`tiny_free_detach_region                   2   0.1%
libsystem_c.dylib`malloc_zone_malloc                        2   0.1%
libsystem_c.dylib`free                                      3   0.2%
libsystem_c.dylib`strlen                                    3   0.2%
libsystem_c.dylib`tiny_free_list_add_ptr                    3   0.2%
libsystem_c.dylib`tiny_free_list_remove_ptr                 3   0.2%
libsystem_c.dylib`DYLD-STUB$$bzero                          3   0.2%
libsystem_kernel.dylib`madvise                              4   0.3%
libsystem_c.dylib`tiny_malloc_from_free_list                4   0.3%
libsystem_c.dylib`szone_size                                5   0.3%
libsystem_c.dylib`bzero$VARIANT$sse42                       8   0.5%
libsystem_c.dylib`memmove$VARIANT$sse42                     8   0.5%
libsystem_c.dylib`szone_free_definite_size                  9   0.6%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       11   0.7%
click`DYLD-STUB$$pthread_self                              18   1.1%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         19   1.2%
click`_ZL18ip_address_portionPKcS0_PhRi                    26   1.6%
libsystem_c.dylib`pthread_self                             46   2.9%
click`_ZL18skip_spacevec_itemPKcS0_                        56   3.5%
click`Lexer::FileState::lex_config(Lexer*)                 58   3.7%
click`0x0                                                  74   4.7%
click`cp_shift_spacevec(String&)                           78   4.9%
click`_ZL17partial_uncommentRK6StringiPi                   94   6.0%
click`ReadRadixIPLookupM107::run_task(Task*)              119   7.5%
click`ReadWriteLockUser::acquire_read()                   913  57.9%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.1%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.1%
libsystem_c.dylib`tiny_free_detach_region                   1   0.1%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           1   0.1%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.1%
click`IPAddress::make_prefix(int)                           2   0.1%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.1%
libsystem_c.dylib`malloc                                    2   0.1%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.1%
libsystem_c.dylib`tiny_free_scan_madvise_free               2   0.1%
libsystem_c.dylib`szone_size                                3   0.2%
libsystem_c.dylib`tiny_malloc_from_free_list                5   0.3%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)        8   0.5%
libsystem_c.dylib`szone_free_definite_size                  8   0.5%
libsystem_c.dylib`tiny_free_list_remove_ptr                 8   0.5%
libsystem_c.dylib`memmove$VARIANT$sse42                     8   0.5%
libsystem_c.dylib`bzero$VARIANT$sse42                      10   0.6%
click`DYLD-STUB$$pthread_self                              20   1.3%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         22   1.4%
click`_ZL18ip_address_portionPKcS0_PhRi                    22   1.4%
libsystem_c.dylib`pthread_self                             32   2.1%
click`Lexer::FileState::lex_config(Lexer*)                 58   3.8%
click`cp_shift_spacevec(String&)                           62   4.0%
click`_ZL18skip_spacevec_itemPKcS0_                        67   4.3%
click`0x0                                                  79   5.1%
click`_ZL17partial_uncommentRK6StringiPi                  101   6.5%
click`ReadRadixIPLookupM107::run_task(Task*)              110   7.1%
click`ReadWriteLockUser::acquire_read()                   908  58.7%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`file_string(__sFILE*,                                 0   0.0%
dyld`ImageLoaderMachOCompressed::trieWalk(unsigned          0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
click`IPAddress::make_prefix(int)                           1   0.1%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.1%
libsystem_c.dylib`tiny_free_detach_region                   1   0.1%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           1   0.1%
libsystem_c.dylib`free                                      1   0.1%
libsystem_c.dylib`malloc_zone_malloc                        1   0.1%
