Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
dyld`ImageLoader::compare(ImageLoader                       0   0.0%
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`click_qsort(void*,                                    0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_kernel.dylib`__thread_selfid                      1   0.0%
libsystem_c.dylib`szone_malloc                              1   0.0%
click`RouterThread::run_tasks(int)                          1   0.0%
libsystem_c.dylib`szone_size                                1   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 2   0.0%
libsystem_c.dylib`free                                      2   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              3   0.0%
libsystem_kernel.dylib`madvise                              3   0.0%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           3   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       3   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 3   0.0%
click`IPAddress::make_prefix(int)                           4   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 4   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     4   0.0%
libsystem_c.dylib`szone_free_definite_size                  6   0.0%
libsystem_c.dylib`tiny_free_list_add_ptr                    6   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list                7   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     8   0.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       12   0.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    18   0.0%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         19   0.0%
click`Lexer::FileState::lex_config(Lexer*)                 58   0.0%
click`_ZL18skip_spacevec_itemPKcS0_                        65   0.0%
click`cp_shift_spacevec(String&)                           77   0.0%
click`_ZL17partial_uncommentRK6StringiPi                   95   0.0%
click`DYLD-STUB$$pthread_self                             192   0.1%
click`0x0                                                 273   0.1%
