index, mean-time, variance, std-deviation
rwl_1r_0w 0.000000 0.000000 0.000000
rwl_2r_0w 6707882.000000 13845397504.000000 117666.468750
rwl_3r_0w 51472492.000000 7145214967808.000000 2673053.500000
rwl_4r_0w 80570144.000000 3794066735104.000000 1947836.375000
rwl_5r_0w 156787152.000000 727996956672.000000 853227.375000
rwl_6r_0w 240466720.000000 2826088480768.000000 1681097.375000
rwl_7r_0w 247441536.000000 2057289334784.000000 1434325.375000
rwl_8r_0w 444714592.000000 35785667510272.000000 5982112.500000
