Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`PrefixErrorHandler::PrefixErrorHandler(ErrorHandler*,        0   0.0%
click`DYLD-STUB$$operator                                   0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              1   0.1%
libsystem_c.dylib`malloc                                    1   0.1%
libsystem_kernel.dylib`madvise                              1   0.1%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           1   0.1%
libsystem_c.dylib`strlen                                    1   0.1%
libsystem_c.dylib`malloc_zone_malloc                        1   0.1%
libsystem_c.dylib`_sread                                    1   0.1%
libsystem_c.dylib`tiny_malloc_from_free_list                1   0.1%
libstdc                                                     1   0.1%
libsystem_c.dylib`get_tiny_free_size                        2   0.3%
click`IPAddress::make_prefix(int)                           3   0.4%
libsystem_c.dylib`tiny_free_reattach_region                 3   0.4%
libsystem_c.dylib`szone_malloc_should_clear                 3   0.4%
libsystem_c.dylib`free                                      3   0.4%
libsystem_c.dylib`tiny_free_list_remove_ptr                 3   0.4%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     3   0.4%
libsystem_c.dylib`pthread_self                              4   0.6%
click`DYLD-STUB$$pthread_self                               6   0.8%
libsystem_c.dylib`szone_free_definite_size                  6   0.8%
libsystem_c.dylib`szone_size                                7   1.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       10   1.4%
libsystem_c.dylib`bzero$VARIANT$sse42                      10   1.4%
libsystem_c.dylib`memmove$VARIANT$sse42                    10   1.4%
click`_ZL18ip_address_portionPKcS0_PhRi                    21   2.9%
click`PoundRadixIPLookupM107::run_task(Task*)              32   4.4%
click`Lexer::FileState::lex_config(Lexer*)                 58   8.0%
click`_ZL18skip_spacevec_itemPKcS0_                        67   9.3%
click`RouterThread::lock_tasks()                           67   9.3%
click`cp_shift_spacevec(String&)                           71   9.8%
click`0x0                                                  89  12.3%
click`_ZL17partial_uncommentRK6StringiPi                   95  13.1%
click`Master::check_driver()                              141  19.5%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`HashContainer<HashTable<Pair<String                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.1%
click`IPAddress::make_prefix(int)                           1   0.1%
libsystem_kernel.dylib`__fcntl                              1   0.1%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.1%
libsystem_c.dylib`get_tiny_previous_free_msize              1   0.1%
libsystem_c.dylib`fread                                     1   0.1%
libsystem_c.dylib`tiny_free_detach_region                   1   0.1%
libsystem_kernel.dylib`madvise                              1   0.1%
libsystem_c.dylib`malloc_zone_malloc                        1   0.1%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.1%
libsystem_c.dylib`tiny_free_scan_madvise_free               2   0.2%
libsystem_c.dylib`strlen                                    2   0.2%
libsystem_c.dylib`tiny_free_list_remove_ptr                 2   0.2%
libsystem_c.dylib`szone_size                                2   0.2%
libsystem_c.dylib`pthread_self                              3   0.3%
libsystem_c.dylib`memmove$VARIANT$sse42                     4   0.4%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     4   0.4%
libsystem_c.dylib`tiny_malloc_from_free_list                5   0.4%
libsystem_c.dylib`szone_malloc_should_clear                 7   0.6%
libsystem_c.dylib`szone_free_definite_size                  9   0.8%
libsystem_c.dylib`bzero$VARIANT$sse42                      10   0.9%
click`DYLD-STUB$$pthread_self                              11   1.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       17   1.5%
click`_ZL18ip_address_portionPKcS0_PhRi                    24   2.1%
click`PoundRadixIPLookupM107::run_task(Task*)              29   2.5%
click`_ZL18skip_spacevec_itemPKcS0_                        48   4.2%
click`Lexer::FileState::lex_config(Lexer*)                 58   5.1%
click`cp_shift_spacevec(String&)                           76   6.7%
click`0x0                                                  97   8.5%
click`_ZL17partial_uncommentRK6StringiPi                  100   8.8%
click`RouterThread::lock_tasks()                          276  24.2%
click`Master::check_driver()                              346  30.3%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`(anonymous                                            0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.1%
libsystem_c.dylib`strcmp                                    1   0.1%
libsystem_kernel.dylib`__read_nocancel                      1   0.1%
