Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`String::hashcode(char                                 0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
click`IPAddress::make_prefix(int)                           1   0.0%
libsystem_kernel.dylib`__read_nocancel                      1   0.0%
libsystem_c.dylib`fread                                     1   0.0%
libsystem_c.dylib`free                                      1   0.0%
click`PoundRadixIPLookupM107::run_task(Task*)               1   0.0%
libsystem_c.dylib`strlen                                    1   0.0%
libsystem_c.dylib`__srefill1                                1   0.0%
libsystem_c.dylib`get_tiny_free_size                        2   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.0%
libsystem_c.dylib`malloc                                    2   0.0%
libsystem_kernel.dylib`madvise                              2   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.0%
libsystem_c.dylib`malloc_zone_malloc                        2   0.0%
libsystem_c.dylib`tiny_free_list_add_ptr                    2   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     2   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 3   0.0%
libsystem_c.dylib`szone_size                                3   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 6   0.1%
libsystem_c.dylib`tiny_malloc_from_free_list                6   0.1%
libsystem_c.dylib`bzero$VARIANT$sse42                       7   0.1%
libsystem_c.dylib`szone_free_definite_size                  9   0.1%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       12   0.1%
libsystem_c.dylib`memmove$VARIANT$sse42                    12   0.1%
click`DYLD-STUB$$pthread_self                              14   0.1%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         16   0.1%
click`_ZL18ip_address_portionPKcS0_PhRi                    32   0.3%
libsystem_c.dylib`pthread_self                             33   0.3%
click`Lexer::FileState::lex_config(Lexer*)                 58   0.5%
click`_ZL18skip_spacevec_itemPKcS0_                        62   0.6%
click`cp_shift_spacevec(String&)                           92   0.9%
click`_ZL17partial_uncommentRK6StringiPi                  100   0.9%
click`ReadRadixIPLookupM107::run_task(Task*)              118   1.1%
click`0x0                                                 240   2.2%
click`ReadWriteLockUser::acquire_read()                  1019   9.4%
click`RouterThread::lock_tasks()                         8956  82.8%
