Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`PoundRadixIPLookupM107::run_task(Task*)               3   0.4%
libsystem_c.dylib`tiny_free_list_add_ptr                    3   0.4%
libsystem_c.dylib`tiny_malloc_from_free_list                3   0.4%
libsystem_c.dylib`szone_malloc_should_clear                 6   0.9%
libsystem_c.dylib`szone_free_definite_size                  9   1.3%
libsystem_c.dylib`memmove$VARIANT$sse42                    11   1.6%
libsystem_c.dylib`bzero$VARIANT$sse42                      12   1.7%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       19   2.7%
click`_ZL18ip_address_portionPKcS0_PhRi                    33   4.7%
click`_ZL18skip_spacevec_itemPKcS0_                        49   7.0%
click`Master::check_driver()                               52   7.4%
click`Lexer::FileState::lex_config(Lexer*)                 58   8.3%
click`cp_shift_spacevec(String&)                           78  11.1%
click`0x0                                                  84  12.0%
click`_ZL17partial_uncommentRK6StringiPi                  103  14.7%
click`RouterThread::lock_tasks()                          155  22.1%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`DYLD-STUB$$operator                                   0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`Vector<IPRoute>::erase(IPRoute*,                      0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`Router::find(String                                   0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.1%
libsystem_c.dylib`tiny_free_detach_region                   1   0.1%
libsystem_c.dylib`pthread_self                              1   0.1%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.1%
libsystem_c.dylib`tiny_free_try_depot_unmap_no_lock         1   0.1%
libsystem_c.dylib`feof                                      1   0.1%
libsystem_c.dylib`OSMemoryBarrier                           1   0.1%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.2%
click`DYLD-STUB$$pthread_self                               2   0.2%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.2%
libsystem_c.dylib`free                                      2   0.2%
libsystem_c.dylib`tiny_free_scan_madvise_free               3   0.4%
libsystem_c.dylib`tiny_free_list_remove_ptr                 3   0.4%
libsystem_c.dylib`szone_size                                3   0.4%
click`IPAddress::make_prefix(int)                           4   0.5%
libsystem_c.dylib`bzero$VARIANT$sse42                       4   0.5%
libsystem_c.dylib`malloc_zone_malloc                        4   0.5%
libsystem_c.dylib`tiny_malloc_from_free_list                4   0.5%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     5   0.6%
libsystem_c.dylib`memmove$VARIANT$sse42                     8   1.0%
click`PoundRadixIPLookupM107::run_task(Task*)              11   1.3%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       12   1.5%
libsystem_c.dylib`szone_free_definite_size                 12   1.5%
click`_ZL18ip_address_portionPKcS0_PhRi                    34   4.1%
click`_ZL18skip_spacevec_itemPKcS0_                        52   6.3%
click`Lexer::FileState::lex_config(Lexer*)                 58   7.1%
click`cp_shift_spacevec(String&)                           73   8.9%
click`0x0                                                  74   9.0%
click`Master::check_driver()                               92  11.2%
click`_ZL17partial_uncommentRK6StringiPi                  102  12.4%
click`RouterThread::lock_tasks()                          249  30.3%
