Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`RadixIPLookup106::remove_from_v(int)                  1   0.8%
libsystem_c.dylib`pthread_self                              1   0.8%
libsystem_c.dylib`memmove$VARIANT$sse42                     1   0.8%
libsystem_c.dylib`tiny_malloc_from_free_list                1   0.8%
libsystem_c.dylib`szone_malloc_should_clear                 1   0.8%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.8%
libsystem_c.dylib`szone_malloc                              1   0.8%
click`RadixIPLookup106::reclaim_v()                         2   1.6%
libsystem_c.dylib`szone_size                                2   1.6%
click`_ZL18ip_address_portionPKcS0_PhRi                     5   4.1%
click`RadixIPLookup106::Radix::free_radix(RadixIPLookup106::Radix*)        6   4.9%
click`_ZL18skip_spacevec_itemPKcS0_                        15  12.3%
click`Lexer::FileState::lex_config(Lexer*)                 16  13.1%
click`cp_shift_spacevec(String&)                           18  14.8%
click`0x0                                                  24  19.7%
click`_ZL17partial_uncommentRK6StringiPi                   27  22.1%
