Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`StaticThreadSched::configure(Vector<String>&,         0   0.0%
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`file_string(__sFILE*,                                 0   0.0%
click`DYLD-STUB$$operator                                   0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.0%
libsystem_c.dylib`tiny_free_detach_region                   1   0.0%
click`Router::~Router()                                     1   0.0%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.0%
libsystem_c.dylib`__vfprintf                                1   0.0%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     1   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.0%
libsystem_c.dylib`malloc                                    2   0.0%
libsystem_kernel.dylib`madvise                              2   0.0%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           2   0.0%
libsystem_c.dylib`strlen                                    2   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       3   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 3   0.0%
click`IPAddress::make_prefix(int)                           4   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 4   0.0%
libsystem_c.dylib`szone_size                                5   0.0%
libsystem_c.dylib`szone_free_definite_size                  7   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     8   0.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)        9   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list                9   0.0%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         38   0.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    39   0.0%
click`_ZL18skip_spacevec_itemPKcS0_                        49   0.0%
click`cp_shift_spacevec(String&)                           49   0.0%
click`Lexer::FileState::lex_config(Lexer*)                 58   0.0%
