Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`Vector<int>::reserve_and_push_back(int,               0   0.0%
dyld`ImageLoaderMachOCompressed::trieWalk(unsigned          0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.0%
libsystem_c.dylib`__srefill0                                1   0.0%
libsystem_c.dylib`DYLD-STUB$$_spin_lock                     1   0.0%
libsystem_c.dylib`tiny_free_detach_region                   1   0.0%
libsystem_c.dylib`free                                      1   0.0%
libsystem_c.dylib`szone_malloc                              1   0.0%
click`cp_va_static_initialize()                             1   0.0%
libsystem_c.dylib`szone_size                                1   0.0%
click`IPAddress::make_prefix(int)                           2   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 2   0.0%
libsystem_kernel.dylib`madvise                              2   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.0%
libsystem_c.dylib`strlen                                    2   0.0%
libsystem_c.dylib`tiny_free_list_add_ptr                    2   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 2   0.0%
click`PoundRadixIPLookupM107::run_task(Task*)               3   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     4   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list                4   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              5   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       8   0.0%
libsystem_c.dylib`szone_free_definite_size                  9   0.0%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         15   0.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       16   0.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    30   0.0%
click`Lexer::FileState::lex_config(Lexer*)                 58   0.1%
click`_ZL18skip_spacevec_itemPKcS0_                        64   0.1%
click`cp_shift_spacevec(String&)                           64   0.1%
click`0x0                                                  90   0.1%
click`_ZL17partial_uncommentRK6StringiPi                  100   0.1%
click`DYLD-STUB$$pthread_self                             121   0.1%
libsystem_c.dylib`pthread_self                            176   0.2%
click`ReadRadixIPLookupM107::run_task(Task*)              563   0.7%
click`Master::check_driver()                             4351   5.2%
click`RouterThread::lock_tasks()                        26477  31.4%
click`ReadWriteLockUser::acquire_read()                 52243  61.9%
