Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
dyld`ImageLoaderMachOCompressed::trieWalk(unsigned          0   0.0%
click`DYLD-STUB$$operator                                   0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.0%
libsystem_c.dylib`__bzero                                   1   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              1   0.0%
libsystem_c.dylib`malloc                                    1   0.0%
libsystem_c.dylib`tiny_free_detach_region                   1   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 1   0.0%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.0%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           1   0.0%
libsystem_c.dylib`free                                      1   0.0%
libsystem_c.dylib`strlen                                    1   0.0%
libsystem_c.dylib`__srefill1                                1   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.0%
libsystem_c.dylib`_sread                                    1   0.0%
libsystem_c.dylib`DYLD-STUB$$bzero                          1   0.0%
click`RouterThread::~RouterThread()                         1   0.0%
click`RouterThread::run_tasks(int)                          1   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 2   0.0%
libsystem_kernel.dylib`__read_nocancel                      2   0.0%
libsystem_c.dylib`tiny_free_list_add_ptr                    2   0.0%
libsystem_c.dylib`szone_size                                2   0.0%
libsystem_kernel.dylib`madvise                              3   0.0%
click`IPAddress::make_prefix(int)                           4   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     4   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list                4   0.0%
click`PoundRadixIPLookupM107::run_task(Task*)               5   0.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       10   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                    10   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                      11   0.0%
libsystem_c.dylib`szone_free_definite_size                 11   0.0%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         28   0.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    31   0.0%
click`_ZL18skip_spacevec_itemPKcS0_                        55   0.0%
click`Lexer::FileState::lex_config(Lexer*)                 59   0.0%
click`cp_shift_spacevec(String&)                           83   0.0%
click`_ZL17partial_uncommentRK6StringiPi                   99   0.0%
click`DYLD-STUB$$pthread_self                             244   0.1%
click`0x0                                                 345   0.1%
libsystem_c.dylib`pthread_self                            510   0.1%
click`ReadRadixIPLookupM107::run_task(Task*)             3130   0.6%
click`Master::check_driver()                             5640   1.2%
click`RouterThread::lock_tasks()                        79768  16.4%
click`ReadWriteLockUser::acquire_read()                397272  81.5%
