Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`Vector<IPRoute>::erase(IPRoute*,                      0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.0%
libsystem_c.dylib`malloc                                    1   0.0%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           1   0.0%
libsystem_c.dylib`__vfprintf                                1   0.0%
libsystem_c.dylib`malloc_zone_malloc                        1   0.0%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.0%
click`_ZL18notify_nports_pairRPKcS0_RiS2_                   1   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list                1   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.0%
libsystem_kernel.dylib`madvise                              2   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.0%
libsystem_c.dylib`tiny_free_scan_madvise_free               2   0.0%
libsystem_c.dylib`strlen                                    2   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 2   0.0%
libsystem_c.dylib`szone_size                                2   0.0%
click`IPAddress::make_prefix(int)                           3   0.0%
libsystem_c.dylib`tiny_free_detach_region                   3   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     4   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       7   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     7   0.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)        9   0.0%
libsystem_c.dylib`szone_free_definite_size                 10   0.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    23   0.0%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         30   0.0%
click`_ZL18skip_spacevec_itemPKcS0_                        58   0.0%
click`Lexer::FileState::lex_config(Lexer*)                 59   0.0%
click`cp_shift_spacevec(String&)                           69   0.0%
click`_ZL17partial_uncommentRK6StringiPi                  101   0.0%
click`0x0                                                 156   0.0%
click`DYLD-STUB$$pthread_self                             327   0.1%
libsystem_c.dylib`pthread_self                            718   0.1%
click`RouterThread::lock_tasks()                         1074   0.2%
click`Master::check_driver()                             3972   0.7%
click`ReadRadixIPLookupM107::run_task(Task*)             4088   0.7%
click`ReadWriteLockUser::acquire_read()                597374  98.2%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`Vector<IPRoute>::erase(IPRoute*,                      0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.0%
click`IPAddress::make_prefix(int)                           1   0.0%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.0%
libsystem_c.dylib`szone_malloc                              1   0.0%
libsystem_c.dylib`malloc_zone_malloc                        1   0.0%
click`RouterThread::~RouterThread()                         1   0.0%
libsystem_c.dylib`__fread                                   1   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list                1   0.0%
libsystem_c.dylib`malloc                                    2   0.0%
libsystem_c.dylib`tiny_free_detach_region                   2   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.0%
libsystem_c.dylib`szone_size                                2   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 3   0.0%
libsystem_c.dylib`DYLD-STUB$$bzero                          3   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     3   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     4   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              5   0.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)        8   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       8   0.0%
libsystem_c.dylib`szone_free_definite_size                 13   0.0%
libsystem_c.dylib`strlen                                   14   0.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    42   0.0%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         51   0.0%
click`_ZL18skip_spacevec_itemPKcS0_                        58   0.0%
click`Lexer::FileState::lex_config(Lexer*)                 58   0.0%
click`cp_shift_spacevec(String&)                           86   0.0%
click`_ZL17partial_uncommentRK6StringiPi                  102   0.0%
click`0x0                                                 210   0.0%
click`DYLD-STUB$$pthread_self                             451   0.1%
libsystem_c.dylib`pthread_self                            949   0.1%
click`ReadRadixIPLookupM107::run_task(Task*)             4900   0.6%
click`RouterThread::lock_tasks()                        26368   3.3%
click`Master::check_driver()                            78742  10.0%
click`ReadWriteLockUser::acquire_read()                675981  85.8%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`String::equals(char                                   0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
