Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`click_qsort(void*,                                    0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`Router::store_local_handler(int,                      0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.0%
click`IPAddress::make_prefix(int)                           1   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.0%
libsystem_c.dylib`tiny_free_detach_region                   1   0.0%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.0%
libsystem_c.dylib`free                                      1   0.0%
click`IPNameInfo::static_initialize()                       1   0.0%
libsystem_c.dylib`malloc_zone_malloc                        1   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.0%
libsystem_c.dylib`__fread                                   1   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.0%
libsystem_c.dylib`strlen                                    2   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     2   0.0%
click`RouterThread::run_tasks(int)                          2   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list                4   0.0%
libsystem_c.dylib`szone_size                                4   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     6   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       7   0.1%
libsystem_c.dylib`szone_free_definite_size                  7   0.1%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         12   0.1%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       18   0.1%
click`_ZL18ip_address_portionPKcS0_PhRi                    26   0.2%
click`DYLD-STUB$$pthread_self                              42   0.3%
click`_ZL18skip_spacevec_itemPKcS0_                        51   0.4%
click`Lexer::FileState::lex_config(Lexer*)                 58   0.4%
libsystem_c.dylib`pthread_self                             59   0.5%
click`0x0                                                  80   0.6%
click`cp_shift_spacevec(String&)                           92   0.7%
click`_ZL17partial_uncommentRK6StringiPi                   94   0.7%
click`ReadRadixIPLookupM107::run_task(Task*)              471   3.7%
click`ReadWriteLockUser::acquire_read()                 11852  91.9%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`String::make_stable(char                              0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.0%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.0%
libsystem_c.dylib`szone_malloc                              1   0.0%
click`IPAddress::make_prefix(int)                           2   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 2   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.0%
libsystem_c.dylib`malloc                                    2   0.0%
libsystem_c.dylib`tiny_free_detach_region                   2   0.0%
libsystem_kernel.dylib`madvise                              2   0.0%
libsystem_c.dylib`strlen                                    2   0.0%
libsystem_c.dylib`tiny_free_list_add_ptr                    2   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 3   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     3   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 4   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       6   0.0%
