index, mean-time, variance, std-deviation
rwl_0r_1w 0.180000 0.000300 0.017320
rwl_0r_2w 0.202500 0.000469 0.021651
rwl_0r_3w 0.230000 0.000300 0.017321
rwl_0r_4w 0.257500 0.000369 0.019203
rwl_0r_5w 0.307500 0.000369 0.019203
rwl_0r_6w 0.352500 0.000269 0.016393
rwl_0r_7w 0.407500 0.000169 0.012991
rwl_0r_8w 0.452500 0.000369 0.019203
