Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
dyld`ImageLoaderMachOCompressed::trieWalk(unsigned          0   0.0%
click`cp_expand(String                                      0   0.0%
click`String::make_stable(char                              0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`HashContainer<HashTable<Pair<String                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.2%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.2%
libsystem_kernel.dylib`__read_nocancel                      1   0.2%
libsystem_c.dylib`malloc                                    1   0.2%
libsystem_c.dylib`pthread_self                              1   0.2%
libsystem_kernel.dylib`madvise                              1   0.2%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           1   0.2%
libsystem_c.dylib`free                                      1   0.2%
libsystem_c.dylib`strlen                                    1   0.2%
libsystem_c.dylib`malloc_zone_malloc                        1   0.2%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.2%
libstdc                                                     1   0.2%
click`IPAddress::make_prefix(int)                           2   0.4%
click`DYLD-STUB$$pthread_self                               2   0.4%
click`PoundRadixIPLookupM107::run_task(Task*)               2   0.4%
libsystem_c.dylib`szone_size                                2   0.4%
libsystem_c.dylib`szone_malloc_should_clear                 3   0.6%
libsystem_c.dylib`tiny_free_list_remove_ptr                 3   0.6%
libsystem_c.dylib`get_tiny_previous_free_msize              5   1.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     6   1.3%
libsystem_c.dylib`tiny_malloc_from_free_list                7   1.5%
libsystem_c.dylib`bzero$VARIANT$sse42                      10   2.1%
libsystem_c.dylib`szone_free_definite_size                 10   2.1%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       16   3.3%
click`_ZL18ip_address_portionPKcS0_PhRi                    24   5.0%
click`Lexer::FileState::lex_config(Lexer*)                 58  12.1%
click`_ZL18skip_spacevec_itemPKcS0_                        59  12.3%
click`cp_shift_spacevec(String&)                           79  16.5%
click`0x0                                                  80  16.7%
click`_ZL17partial_uncommentRK6StringiPi                   98  20.5%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`Router::store_local_handler(int,                      0   0.0%
click`cp_basic_integer(char                                 0   0.0%
click`IPAddress::make_prefix(int)                           1   0.2%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.2%
libsystem_c.dylib`tiny_free_detach_region                   1   0.2%
click`DYLD-STUB$$pthread_self                               1   0.2%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           1   0.2%
libsystem_c.dylib`free                                      1   0.2%
click`PoundRadixIPLookupM107::run_task(Task*)               1   0.2%
libsystem_c.dylib`strlen                                    1   0.2%
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.2%
click`RadixIPLookup107::RadixIPLookup107()                  1   0.2%
libsystem_c.dylib`get_tiny_free_size                        2   0.4%
libsystem_c.dylib`tiny_free_scan_madvise_free               2   0.4%
libsystem_c.dylib`tiny_free_list_add_ptr                    2   0.4%
libsystem_c.dylib`get_tiny_previous_free_msize              3   0.6%
libsystem_c.dylib`szone_malloc_should_clear                 3   0.6%
libsystem_c.dylib`szone_size                                4   0.8%
libsystem_c.dylib`tiny_malloc_from_free_list                5   1.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     6   1.2%
libsystem_c.dylib`bzero$VARIANT$sse42                       9   1.9%
libsystem_c.dylib`szone_free_definite_size                  9   1.9%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       21   4.4%
click`_ZL18ip_address_portionPKcS0_PhRi                    26   5.4%
click`Lexer::FileState::lex_config(Lexer*)                 58  12.1%
click`_ZL18skip_spacevec_itemPKcS0_                        59  12.3%
click`0x0                                                  76  15.8%
click`cp_shift_spacevec(String&)                           82  17.1%
click`_ZL17partial_uncommentRK6StringiPi                  103  21.5%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`String::hashcode(char                                 0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`Vector<IPRoute>::erase(IPRoute*,                      0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.2%
click`IPAddress::make_prefix(int)                           1   0.2%
libsystem_kernel.dylib`madvise                              1   0.2%
click`cp_va_static_cleanup()                                1   0.2%
libsystem_c.dylib`free                                      1   0.2%
libsystem_c.dylib`szone_malloc                              1   0.2%
libsystem_c.dylib`_sread                                    1   0.2%
libsystem_c.dylib`tiny_free_reattach_region                 2   0.4%
