Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.1%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.1%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.1%
libsystem_c.dylib`free                                      1   0.1%
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.1%
libdyld.dylib`dyld_stub_binder                              1   0.1%
libstdc                                                     1   0.1%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.2%
libsystem_c.dylib`malloc_zone_malloc                        2   0.2%
libsystem_c.dylib`tiny_free_list_add_ptr                    2   0.2%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     2   0.2%
libsystem_c.dylib`tiny_free_detach_region                   3   0.4%
libsystem_c.dylib`szone_size                                3   0.4%
libsystem_c.dylib`pthread_self                              4   0.5%
libsystem_c.dylib`szone_malloc_should_clear                 4   0.5%
libsystem_c.dylib`strlen                                    5   0.6%
libsystem_c.dylib`memmove$VARIANT$sse42                     5   0.6%
click`DYLD-STUB$$pthread_self                               7   0.8%
libsystem_c.dylib`tiny_malloc_from_free_list                7   0.8%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       10   1.2%
libsystem_c.dylib`bzero$VARIANT$sse42                      10   1.2%
libsystem_c.dylib`szone_free_definite_size                 12   1.4%
click`PoundRadixIPLookupM107::run_task(Task*)              20   2.4%
click`_ZL18ip_address_portionPKcS0_PhRi                    30   3.6%
click`_ZL18skip_spacevec_itemPKcS0_                        47   5.6%
click`Lexer::FileState::lex_config(Lexer*)                 59   7.0%
click`cp_shift_spacevec(String&)                           68   8.1%
click`0x0                                                  91  10.8%
click`_ZL17partial_uncommentRK6StringiPi                  100  11.9%
click`Master::check_driver()                              142  16.9%
click`RouterThread::lock_tasks()                          199  23.7%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.1%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.1%
libsystem_c.dylib`fread                                     1   0.1%
libsystem_c.dylib`tiny_free_detach_region                   1   0.1%
libsystem_c.dylib`pthread_self                              1   0.1%
libsystem_kernel.dylib`madvise                              1   0.1%
libsystem_c.dylib`szone_malloc_should_clear                 1   0.1%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           1   0.1%
libsystem_c.dylib`strlen                                    1   0.1%
click`cp_va_static_initialize()                             1   0.1%
libsystem_c.dylib`malloc_zone_malloc                        1   0.1%
libsystem_c.dylib`small_free_list_add_ptr                   1   0.1%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     1   0.1%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.2%
libsystem_c.dylib`tiny_free_scan_madvise_free               2   0.2%
libsystem_c.dylib`tiny_free_list_add_ptr                    2   0.2%
libsystem_c.dylib`tiny_free_list_remove_ptr                 3   0.4%
libsystem_c.dylib`szone_size                                3   0.4%
click`DYLD-STUB$$pthread_self                               4   0.5%
libsystem_c.dylib`memmove$VARIANT$sse42                     4   0.5%
libsystem_c.dylib`tiny_malloc_from_free_list                8   0.9%
libsystem_c.dylib`szone_free_definite_size                 10   1.2%
libsystem_c.dylib`bzero$VARIANT$sse42                      13   1.5%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       17   2.0%
click`PoundRadixIPLookupM107::run_task(Task*)              17   2.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    26   3.1%
click`_ZL18skip_spacevec_itemPKcS0_                        52   6.2%
click`Lexer::FileState::lex_config(Lexer*)                 58   6.9%
click`cp_shift_spacevec(String&)                           83   9.8%
click`0x0                                                  83   9.8%
click`_ZL17partial_uncommentRK6StringiPi                   97  11.5%
click`Master::check_driver()                              172  20.4%
click`RouterThread::lock_tasks()                          174  20.6%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`Element::name()                                       0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`DYLD-STUB$$operator                                   0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.1%
click`IPAddress::make_prefix(int)                           1   0.1%
libsystem_c.dylib`malloc                                    1   0.1%
