Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::lookup_route(IPAddress,             0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`String::hashcode(char                                 0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
dyld`ImageLoaderMachOCompressed::doBindFastLazySymbol(unsigned        0   0.0%
click`Vector<IPRoute>::erase(IPRoute*,                      0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`tiny_free_detach_region                   1   0.0%
libsystem_c.dylib`strlen                                    1   0.0%
click`DYLD-STUB$$strlen                                     1   0.0%
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.0%
libsystem_c.dylib`_none_mbrtowc                             1   0.0%
click`DYLD-STUB$$__bzero                                    1   0.0%
libsystem_c.dylib`szone_size                                1   0.0%
libsystem_c.dylib`get_tiny_free_size                        2   0.0%
libsystem_c.dylib`tiny_free_scan_madvise_free               2   0.0%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           2   0.0%
libsystem_c.dylib`tiny_free_reattach_region                 3   0.0%
libsystem_c.dylib`get_tiny_previous_free_msize              3   0.0%
libsystem_c.dylib`free                                      4   0.0%
libsystem_c.dylib`malloc_zone_malloc                        4   0.0%
click`IPAddress::make_prefix(int)                           5   0.0%
libsystem_c.dylib`szone_malloc_should_clear                 5   0.0%
libsystem_c.dylib`tiny_malloc_from_free_list                5   0.0%
libsystem_c.dylib`szone_free_definite_size                  6   0.0%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     6   0.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       8   0.0%
click`PoundRadixIPLookupM107::run_task(Task*)               8   0.0%
libsystem_c.dylib`memmove$VARIANT$sse42                     9   0.0%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       13   0.0%
click`_ZL18ip_address_portionPKcS0_PhRi                    25   0.0%
click`DYLD-STUB$$ReadWriteLockUser::acquire_read()         27   0.0%
click`_ZL18skip_spacevec_itemPKcS0_                        54   0.0%
click`Lexer::FileState::lex_config(Lexer*)                 58   0.0%
click`cp_shift_spacevec(String&)                           80   0.0%
click`_ZL17partial_uncommentRK6StringiPi                   98   0.0%
click`DYLD-STUB$$pthread_self                             312   0.0%
click`0x0                                                 408   0.1%
libsystem_c.dylib`pthread_self                            642   0.1%
click`ReadRadixIPLookupM107::run_task(Task*)             3244   0.5%
click`Master::check_driver()                             3646   0.5%
click`RouterThread::lock_tasks()                        98921  14.0%
click`ReadWriteLockUser::acquire_read()                598711  84.8%
