index, mean-time, variance, std-deviation
rwl_0r_1w 0.145000 0.000075 0.008660
rwl_0r_2w 0.505000 0.002125 0.046098
rwl_0r_3w 0.912500 0.003069 0.055396
rwl_0r_4w 1.207500 0.033719 0.183627
rwl_0r_5w 2.092500 0.035619 0.188729
rwl_0r_6w 2.660000 0.077149 0.277757
rwl_0r_7w 3.822500 0.016620 0.128917
rwl_0r_8w 4.457500 0.086668 0.294394
